gene_id,symbol,name,chr,pathway,at_ortholog,os_ortholog,ta_ortholog,gwas_qtl,root_log2fc,shoot_log2fc,padj,de_bd21,de_bd21_3,de_gaz8,spaceflight_status
BRADI_1g28880v3,BdPIN1a,PIN-FORMED 1a,Chr1,Auxin Efflux Carrier,AT1G73590,OsPIN1a,TraesCS1A02G,Presentation Time (Fast),1.42,0.35,0.0012,True,False,True,Strong Root Spaceflight DEG
BRADI_1g59720v3,BdPIN1b,PIN-FORMED 1b,Chr1,Auxin Efflux Carrier,AT1G73590,OsPIN1b,TraesCS1B02G,Shoot Polar Transport,0.65,1.15,0.0045,True,True,False,Strong Shoot Spaceflight DEG
BRADI_3g44770v3,BdPIN2,PIN-FORMED 2,Chr3,Auxin Efflux Carrier,AT5G57090,OsPIN2,TraesCS3A02G,Gravitropic Curvature (Primary),-1.85,-0.12,0.0001,True,False,True,Strong Root Spaceflight DEG
BRADI_4g35920v3,BdPIN3,PIN-FORMED 3,Chr4,Auxin Efflux Carrier,AT1G70940,OsPIN3a,TraesCS4B02G,Statocyte Relocalization,1.95,0.88,5e-05,True,True,True,Strong Root Spaceflight DEG
BRADI_2g08930v3,BdPIN4,PIN-FORMED 4,Chr2,Auxin Efflux Carrier,AT2G01420,OsPIN4,TraesCS2A02G,Root Auxin Maximum,0.72,0.15,0.021,True,False,False,Moderate Spaceflight DEG
BRADI_1g17610v3,BdPIN7,PIN-FORMED 7,Chr1,Auxin Efflux Carrier,AT1G23080,OsPIN7,TraesCS1D02G,Columella Auxin Redirection,0.55,0.08,0.043,False,False,True,Moderate Spaceflight DEG
BRADI_3g35890v3,BdAUX1,Auxin Resistant 1,Chr3,Auxin Influx Carrier,AT2G38120,OsAUX1,TraesCS3B02G,Curvature Initiation Angle,1.34,0.45,0.0018,True,False,True,Strong Root Spaceflight DEG
BRADI_2g55170v3,BdLAX1,Like-AUX1 1,Chr2,Auxin Influx Carrier,AT5G01240,OsLAX1,TraesCS2D02G,Vascular Auxin Flow,0.42,0.9,0.035,False,True,False,Moderate Spaceflight DEG
BRADI_4g12810v3,BdLAX2,Like-AUX1 2,Chr4,Auxin Influx Carrier,AT2G21050,OsLAX2,TraesCS4A02G,Root Meristem Patterning,0.28,0.12,0.12,False,False,False,Constitutive / Non-DEG
BRADI_1g08940v3,BdLAX3,Like-AUX1 3,Chr1,Auxin Influx Carrier,AT1G77690,OsLAX3,TraesCS1A02G,Lateral Organ Bending,0.98,0.31,0.008,True,False,True,Moderate Spaceflight DEG
BRADI_5g19830v3,BdLAZY1,LAZY1 Signal Transducer,Chr5,Gravity Perception/Transduction,AT5G14660,OsLAZY1,TraesCS5A02G,Gravitropic Setpoint Angle (GSA),2.15,1.78,1e-05,True,True,True,Strong Root Spaceflight DEG
BRADI_3g14220v3,BdDRO1,DEEPER ROOTING 1,Chr3,Root Gravitropic Setpoint,AT1G72490,OsDRO1,TraesCS3D02G,Deep Root Angle (Drought/Gravity),1.68,0.22,0.0003,True,False,True,Strong Root Spaceflight DEG
BRADI_2g22150v3,BdSGR9,SHOOT GRAVITROPISM 9,Chr2,Amyloplast Sedimentation,AT1G17400,OsSGR9,TraesCS2B02G,Amyloplast Mobility,-0.85,-1.25,0.0065,True,True,False,Strong Shoot Spaceflight DEG
BRADI_4g05670v3,BdSGR2,SHOOT GRAVITROPISM 2,Chr4,Amyloplast Sedimentation,AT2G46870,OsSGR2,TraesCS4D02G,Vacuolar Membrane Tethering,-0.52,-0.89,0.015,False,False,True,Moderate Spaceflight DEG
BRADI_4g11220v3,BdTIR1,Transport Inhibitor Response 1,Chr4,Auxin Receptor,AT3G62980,OsTIR1,TraesCS4B02G,Auxin Sensitivity Threshold,0.74,0.4,0.019,True,False,False,Moderate Spaceflight DEG
BRADI_1g64200v3,BdAFB2,Auxin Signaling F-Box 2,Chr1,Auxin Receptor,AT4G03190,OsAFB2,TraesCS1B02G,Fast Elongation Inhibition,0.88,0.32,0.011,True,True,False,Moderate Spaceflight DEG
BRADI_2g49180v3,BdARF7,Auxin Response Factor 7,Chr2,Auxin Response Factor,AT5G20730,OsARF7,TraesCS2A02G,Asymmetric Growth Transcript Activator,1.22,0.95,0.0025,True,False,True,Strong Root Spaceflight DEG
BRADI_3g58400v3,BdARF19,Auxin Response Factor 19,Chr3,Auxin Response Factor,AT1G19220,OsARF19,TraesCS3A02G,Root Curvature Transduction,1.05,0.7,0.006,True,True,False,Strong Root Spaceflight DEG
BRADI_1g30140v3,BdIAA14,Indole-3-Acetic Acid 14 (SLR),Chr1,Aux/IAA Repressor,AT4G14560,OsIAA14,TraesCS1D02G,Gravitropic Bending Repression,-1.45,-0.65,0.0008,True,False,True,Strong Root Spaceflight DEG
BRADI_1g09410v3,BdPGM1,Phosphoglucomutase 1,Chr1,Statolith Starch Biosynthesis,AT5G51820,OsPGM1,TraesCS1A02G,Amyloplast Starch Volume,-1.1,-0.45,0.004,True,True,False,Strong Root Spaceflight DEG
BRADI_2g16530v3,BdADG1,ADP-Glucose Pyrophosphorylase 1,Chr2,Statolith Starch Biosynthesis,AT5G19220,OsADG1,TraesCS2D02G,Gravity Sensing Efficiency,-0.92,-0.38,0.0095,False,True,False,Moderate Spaceflight DEG
BRADI_1g71830v3,BdCPK28,Calcium-Dependent Protein Kinase 28,Chr1,Calcium Signaling Kinase,AT5G66210,OsCPK28,TraesCS1B02G,Root Mechanoperception Hub,2.38,0.85,2e-05,True,True,True,Strong Root Spaceflight DEG
BRADI_4g30480v3,BdCAS,Calcium Sensing Receptor,Chr4,Calcium Sensing Receptor,AT5G23060,OsCAS,TraesCS4A02G,Organellar Calcium Homeostasis,1.75,1.4,0.0002,True,False,True,Strong Root Spaceflight DEG
BRADI_3g08190v3,BdCRK28,Cysteine-Rich Receptor Kinase 28,Chr3,Receptor-like Kinase,AT3G55950,OsCRK28,TraesCS3B02G,ROS/Gravity Signaling Interface,1.62,1.05,0.0005,True,True,True,Strong Root Spaceflight DEG
BRADI_5g21400v3,BdCML24,Calmodulin-Like Protein 24,Chr5,Calmodulin-Like Protein,AT5G15060,OsCML24,TraesCS5D02G,Touch & Gravistimulation Calcium Sensor,1.88,1.3,0.0001,True,False,True,Strong Root Spaceflight DEG
BRADI_2g39110v3,BdMSL10,Mechanosensitive Channel MSL10,Chr2,Mechanosensitive Ion Channel,AT4G00290,OsMSL10,TraesCS2B02G,Stretch-Activated Plasma Membrane Channel,1.45,0.5,0.0015,True,False,True,Strong Root Spaceflight DEG
BRADI_1g11420v3,BdEXPA1,Alpha-Expansin A1,Chr1,Cell Wall Loosening (Expansin),AT2G39700,OsEXPA1,TraesCS1A02G,Convex Flank Cell Wall Extension,2.5,1.95,1e-05,True,True,True,Strong Root Spaceflight DEG
BRADI_4g41200v3,BdXTH1,Xyloglucan Transglucosylase 1,Chr4,Xyloglucan Transglucosylase,AT4G14130,OsXTH1,TraesCS4D02G,Hemicellulose Cleavage & Ligation,1.55,1.1,0.0008,True,False,True,Strong Root Spaceflight DEG
BRADI_3g17860v3,BdCSLD1,Cellulose Synthase-Like D1,Chr3,Cellulose/Glucan Synthase,AT4G25810,OsCSLD1,TraesCS3A02G,Mixed-Linkage Glucan Deposition,1.3,0.75,0.003,True,True,False,Strong Root Spaceflight DEG
